Gamma,Depth,Gamma_real,Depth_real
5.142883754,1.70555863,0.381270519,-0.057424281
8.166266804,2.71335298,2.953870342,0.528301571
12.70134138,2.965301567,6.812770077,0.674733035
17.48836454,2.965301567,10.88605313,0.674733035
22.02343911,2.965301567,14.74495287,0.674733035
26.05461651,3.469198742,18.17508596,0.967595961
31.34553685,3.72114733,22.67713566,1.114027424
30.3377425,5.988684617,21.81960238,2.431910593
26.3065651,6.744530379,18.38946928,2.871204982
22.52733629,7.248427554,15.1737195,3.164067908
18.74810748,9.012067666,11.95796972,4.189088151
24.03902781,9.767913428,16.46001942,4.62838254
28.3221538,10.2718106,20.10453583,4.921245466
33.10917696,10.01986202,24.17781889,4.774814003
38.14814871,11.27960495,28.46548526,5.506971319
42.4312747,11.27960495,32.11000168,5.506971319
47.47024644,11.78350213,36.39766805,5.799834245
52.76116678,12.03545072,40.89971774,5.946265709
58.3040357,12.03545072,45.61615075,5.946265709
63.09105887,12.53934789,49.6894338,6.239128635
60.82352158,14.302988,47.75998393,7.264148877
65.86249333,14.05103941,52.04765031,7.117717414
70.3975679,14.05103941,55.90655004,7.117717414
73.42095095,14.55493659,58.47914987,7.41058034
70.90146508,15.05883376,56.33531668,7.703443267
67.62613344,15.56273094,53.54833354,7.996306193
61.57936734,16.82247388,48.40313389,8.728463509
67.37418485,17.07442246,53.33395022,8.874894972
71.65731084,17.32637105,56.97846664,9.021326435
75.94043683,17.32637105,60.62298305,9.021326435
81.48330575,17.32637105,65.33941606,9.021326435
86.27032891,18.3341654,69.41269912,9.607052288
94.33268371,18.83806258,76.27296531,9.899915214
101.3872442,18.58611399,82.27569823,9.753483751
108.189856,18.83806258,88.06404784,9.899915214
115.4963651,18.83806258,94.28116408,9.899915214
120.2833882,18.83806258,98.35444713,9.899915214
126.0782057,19.09001116,103.2852635,10.04634668
117.0080566,20.85365128,95.56746399,11.07136692
120.5353368,21.86144563,98.56883045,11.65709277
121.5431312,23.87703433,99.42636372,12.82854448
128.5976916,24.12898291,105.4290966,12.97497594
126.8340515,25.89262302,103.9284134,13.99999618
121.5431312,26.3965202,99.42636372,14.29285911
120.0314396,28.66405749,98.14006381,15.61074228
118.0158509,29.67185184,96.42499726,16.19646813
110.2054447,30.67964619,89.77911439,16.78219398
113.7327249,32.4432863,92.78048085,17.80721423
109.1976504,33.70302924,88.92158111,18.53937154
99.62360405,35.21472076,80.775015,19.41796032
94.33268371,35.97056652,76.27296531,19.85725471
93.82878653,37.73420663,75.84419867,20.88227495
86.01838032,37.98615522,69.1983158,21.02870641
79.46771705,38.74200098,63.62434951,21.4680008
75.43653965,39.74979533,60.19421641,22.05372666
77.70407694,41.51343545,62.12366628,23.0787469
80.72745999,43.52902415,64.69626611,24.2501986
81.23135716,46.04851002,65.12503274,25.71451324
78.4599227,46.80435578,62.76681624,26.15380763
60.57157299,47.81215013,47.54560062,26.73953348
69.13782496,48.56799589,54.83463345,27.17882787
69.38977355,51.08748177,55.04901677,28.6431425
72.66510519,52.09527612,57.83599991,29.22886835
78.96381988,52.09527612,63.19558288,29.22886835
84.5066888,52.85112188,67.91201589,29.66816274
88.28591761,53.35501906,71.12776566,29.96102567
93.82878653,53.85891623,75.84419867,30.25388859
98.6158097,54.61476199,79.91748173,30.69318298
101.6391927,56.63035069,82.49008155,31.86463469
99.87555263,57.89009363,80.98939832,32.59679201
97.60801535,58.64593939,79.05994845,33.03608639
94.33268371,58.3939908,76.27296531,32.88965493
99.11970687,60.4095795,80.34624837,34.06110664
97.10411817,61.16542527,78.63118182,34.50040103
93.32488936,62.17321962,75.41543204,35.08612688
95.08852947,63.18101397,76.91611527,35.67185273
94.33268371,65.19660267,76.27296531,36.84330444
91.81319783,65.95244843,74.12913213,37.28259883
93.07294077,68.72388289,75.20104872,38.89334492
88.03396902,70.23557441,70.91338235,39.7719337
94.83658088,71.24336876,76.70173195,40.35765955
94.83658088,73.51090605,76.70173195,41.67554272
90.5534549,74.5187004,73.05721553,42.26126857
94.83658088,75.77844334,76.70173195,42.99342589
91.56124925,76.78623769,73.91474881,43.57915174
88.03396902,78.29792921,70.91338235,44.45774052
78.71187129,79.55767215,62.98119956,45.18989784
77.95602553,80.5654665,62.3380496,45.77562369
69.64172214,81.57326085,55.26340009,46.36134954
