Year,Month,Total Rainfall (mm),Date,Month Type,Year Type,Class
1896,1,0.0,1896-01-01,Dry,Dry,1895_Dry
1896,2,0.0,1896-02-01,Dry,Dry,1895_Dry
1896,4,0.0,1896-04-01,Dry,Dry,1895_Dry
1896,12,0.0,1896-12-01,Dry,Dry,1896_Dry
1897,1,0.0,1897-01-01,Dry,Dry,1896_Dry
1897,2,0.0,1897-02-01,Dry,Dry,1896_Dry
1897,12,0.0,1897-12-01,Dry,Dry,1897_Dry
1898,1,0.0,1898-01-01,Dry,Dry,1897_Dry
1898,3,0.0,1898-03-01,Dry,Dry,1897_Dry
1899,1,0.0,1899-01-01,Dry,Dry,1898_Dry
1899,2,0.0,1899-02-01,Dry,Dry,1898_Dry
1899,3,0.0,1899-03-01,Dry,Dry,1898_Dry
1899,12,0.0,1899-12-01,Dry,Dry,1899_Dry
1900,2,0.0,1900-02-01,Dry,Dry,1899_Dry
1900,3,0.0,1900-03-01,Dry,Dry,1899_Dry
1901,1,0.0,1901-01-01,Dry,Dry,1900_Dry
1901,4,0.0,1901-04-01,Dry,Dry,1900_Dry
1902,1,0.0,1902-01-01,Dry,Dry,1901_Dry
1902,4,0.0,1902-04-01,Dry,Dry,1901_Dry
1904,1,0.0,1904-01-01,Dry,Dry,1903_Dry
1906,3,0.0,1906-03-01,Dry,Dry,1905_Dry
1907,1,3.3,1907-01-01,Dry,Dry,1906_Dry
1907,2,8.55,1907-02-01,Dry,Dry,1906_Dry
1907,3,24.45,1907-03-01,Dry,Dry,1906_Dry
1907,4,16.2,1907-04-01,Dry,Dry,1906_Dry
1907,5,59.900000000000006,1907-05-01,Wet,Dry,1907_Wet
1907,6,104.8,1907-06-01,Wet,Dry,1907_Wet
1907,7,160.8,1907-07-01,Wet,Dry,1907_Wet
1907,8,66.55,1907-08-01,Wet,Dry,1907_Wet
1907,9,43.4,1907-09-01,Wet,Dry,1907_Wet
1907,10,10.049999999999999,1907-10-01,Dry,Dry,1907_Dry
1907,11,0.9,1907-11-01,Dry,Dry,1907_Dry
1907,12,0.0,1907-12-01,Dry,Dry,1907_Dry
1908,1,0.65,1908-01-01,Dry,Dry,1907_Dry
1908,2,0.25,1908-02-01,Dry,Dry,1907_Dry
1908,3,6.3,1908-03-01,Dry,Dry,
1908,4,23.099999999999998,1908-04-01,Dry,Dry,
1908,5,109.2,1908-05-01,Wet,Dry,1908_Wet
1908,6,69.45,1908-06-01,Wet,Dry,1908_Wet
1908,7,64.0,1908-07-01,Wet,Dry,1908_Wet
1908,8,24.95,1908-08-01,Dry,Dry,1908_Dry
1908,9,7.949999999999999,1908-09-01,Dry,Dry,1908_Dry
1908,10,20.4,1908-10-01,Dry,Dry,1908_Dry
1908,11,17.75,1908-11-01,Dry,Dry,1908_Dry
1908,12,13.45,1908-12-01,Dry,Dry,1908_Dry
1909,1,31.9,1909-01-01,Dry,Dry,1908_Dry
1909,2,22.5,1909-02-01,Dry,Dry,1908_Dry
1909,3,0.4,1909-03-01,Dry,Dry,1908_Dry
1909,4,29.700000000000003,1909-04-01,Dry,Dry,1908_Dry
1909,5,39.0,1909-05-01,Dry,Dry,1909_Dry
1909,6,82.75,1909-06-01,Wet,Dry,1909_Wet
1909,7,44.2,1909-07-01,Wet,Dry,1909_Wet
1909,8,166.54999999999998,1909-08-01,Wet,Dry,1909_Wet
1909,9,43.9,1909-09-01,Wet,Dry,1909_Wet
1909,10,38.0,1909-10-01,Dry,Dry,1909_Dry
1909,11,15.0,1909-11-01,Dry,Dry,1909_Dry
1909,12,1.65,1909-12-01,Dry,Dry,1909_Dry
1910,1,0.25,1910-01-01,Dry,Dry,1909_Dry
1910,2,57.45,1910-02-01,Wet,Dry,1909_Dry
1910,3,0.0,1910-03-01,Dry,Dry,
1910,4,1.15,1910-04-01,Dry,Dry,
1910,5,96.85,1910-05-01,Wet,Dry,1910_Wet
1910,6,111.05,1910-06-01,Wet,Dry,1910_Wet
1910,7,111.45,1910-07-01,Wet,Dry,1910_Wet
1910,8,31.35,1910-08-01,Dry,Dry,1910_Dry
1910,9,31.85,1910-09-01,Dry,Dry,1910_Dry
1910,10,23.9,1910-10-01,Dry,Dry,1910_Dry
1910,11,4.8,1910-11-01,Dry,Dry,1910_Dry
1910,12,13.15,1910-12-01,Dry,Dry,1910_Dry
1911,1,6.75,1911-01-01,Dry,Dry,
1911,2,1.65,1911-02-01,Dry,Dry,
1911,3,3.3499999999999996,1911-03-01,Dry,Dry,
1911,4,16.35,1911-04-01,Dry,Dry,
1911,5,41.15,1911-05-01,Wet,Dry,1911_Wet
1911,6,43.6,1911-06-01,Wet,Dry,1911_Wet
1911,7,60.099999999999994,1911-07-01,Wet,Dry,1911_Wet
1911,8,40.1,1911-08-01,Wet,Dry,1911_Wet
1911,9,12.8,1911-09-01,Dry,Dry,1911_Dry
1911,10,2.55,1911-10-01,Dry,Dry,1911_Dry
1911,11,0.65,1911-11-01,Dry,Dry,1911_Dry
1911,12,0.15,1911-12-01,Dry,Dry,1911_Dry
1912,1,34.5,1912-01-01,Dry,Dry,1911_Dry
1912,2,3.3,1912-02-01,Dry,Dry,
1912,3,0.15,1912-03-01,Dry,Dry,
1912,4,9.049999999999999,1912-04-01,Dry,Dry,
1912,5,83.14999999999999,1912-05-01,Wet,Dry,1912_Wet
1912,6,27.15,1912-06-01,Dry,Dry,
1912,7,103.0,1912-07-01,Wet,Dry,1912_Wet
1912,8,20.45,1912-08-01,Dry,Dry,
1912,9,45.55,1912-09-01,Wet,Dry,1912_Wet
1912,10,24.7,1912-10-01,Dry,Dry,1912_Dry
1912,11,11.4,1912-11-01,Dry,Dry,1912_Dry
