Year,Month,Total Rainfall (mm),Date,Month Type,Year Type,Class
1907,1,3.30,1/01/1907,Dry,Dry,1906_Dry
1907,2,8.55,1/02/1907,Dry,Dry,1906_Dry
1907,3,24.45,1/03/1907,Dry,Dry,1906_Dry
1907,4,16.20,1/04/1907,Dry,Dry,1906_Dry
1907,5,59.90,1/05/1907,Wet,Dry,1907_Wet
1907,6,104.80,1/06/1907,Wet,Dry,1907_Wet
1907,7,160.80,1/07/1907,Wet,Dry,1907_Wet
1907,8,66.55,1/08/1907,Wet,Dry,1907_Wet
1907,9,43.40,1/09/1907,Wet,Dry,1907_Wet
1907,10,10.05,1/10/1907,Dry,Dry,1907_Dry
1907,11,0.90,1/11/1907,Dry,Dry,1907_Dry
1907,12,0.00,1/12/1907,Dry,Dry,1907_Dry
1908,1,0.65,1/01/1908,Dry,Dry,1907_Dry
1908,2,0.25,1/02/1908,Dry,Dry,1907_Dry
1908,3,6.30,1/03/1908,Dry,Dry,1907_Dry
1908,4,23.10,1/04/1908,Dry,Dry,1907_Dry
1908,5,109.20,1/05/1908,Wet,Dry,1908_Wet
1908,6,69.45,1/06/1908,Wet,Dry,1908_Wet
1908,7,64.00,1/07/1908,Wet,Dry,1908_Wet
1908,8,24.95,1/08/1908,Dry,Dry,1908_Dry
1908,9,7.95,1/09/1908,Dry,Dry,1908_Dry
1908,10,20.40,1/10/1908,Dry,Dry,1908_Dry
1908,11,17.75,1/11/1908,Dry,Dry,1908_Dry
1908,12,13.45,1/12/1908,Dry,Dry,1908_Dry
1909,1,31.90,1/01/1909,Dry,Dry,1908_Dry
1909,2,22.50,1/02/1909,Dry,Dry,1908_Dry
1909,3,0.40,1/03/1909,Dry,Dry,1908_Dry
1909,4,29.70,1/04/1909,Dry,Dry,1908_Dry
1909,5,39.00,1/05/1909,Dry,Dry,1909_Dry
1909,6,82.75,1/06/1909,Wet,Dry,1909_Wet
1909,7,44.20,1/07/1909,Wet,Dry,1909_Wet
1909,8,166.55,1/08/1909,Wet,Dry,1909_Wet
1909,9,43.90,1/09/1909,Wet,Dry,1909_Wet
1909,10,38.00,1/10/1909,Dry,Dry,1909_Dry
1909,11,15.00,1/11/1909,Dry,Dry,1909_Dry
1909,12,1.65,1/12/1909,Dry,Dry,1909_Dry
1910,1,0.25,1/01/1910,Dry,Dry,1909_Dry
1910,2,57.45,1/02/1910,Wet,Dry,1909_Dry
1910,3,0.00,1/03/1910,Dry,Dry,1909_Dry
1910,4,1.15,1/04/1910,Dry,Dry,1909_Dry
1910,5,96.85,1/05/1910,Wet,Dry,1910_Wet
1910,6,111.05,1/06/1910,Wet,Dry,1910_Wet
1910,7,111.45,1/07/1910,Wet,Dry,1910_Wet
