Year,Month,Total Rainfall (mm),Date,Month Type,Year Type,Class
1950,5,104.8,1/05/1950,Wet,Dry,1950_Wet
1950,6,49.2,1/06/1950,Wet,Dry,1950_Wet
1950,7,61.55,1/07/1950,Wet,Dry,1950_Wet
1950,8,49.8,1/08/1950,Wet,Dry,1950_Wet
1950,9,29.7,1/09/1950,Dry,Dry,1950_Dry
1950,10,18.65,1/10/1950,Dry,Dry,1950_Dry
1950,11,8.35,1/11/1950,Dry,Dry,1950_Dry
1950,12,0.5,1/12/1950,Dry,Dry,1950_Dry
1951,1,18.45,1/01/1951,Dry,Dry,1950_Dry
1951,2,23.25,1/02/1951,Dry,Dry,1950_Dry
1951,3,2.3,1/03/1951,Dry,Dry,1950_Dry
1951,4,72.35,1/04/1951,Wet,Dry,1951_Wet
1951,5,27.15,1/05/1951,Dry,Dry,1951_Wet
1951,6,150.5,1/06/1951,Wet,Dry,1951_Wet
1951,7,83.55,1/07/1951,Wet,Dry,1951_Wet
1951,8,42.75,1/08/1951,Wet,Dry,1951_Wet
1951,9,42.7,1/09/1951,Wet,Dry,1951_Wet
1951,10,16.9,1/10/1951,Dry,Dry,1951_Dry
1951,11,0.95,1/11/1951,Dry,Dry,1951_Dry
1951,12,12.1,1/12/1951,Dry,Dry,1951_Dry
1952,1,4.35,1/01/1952,Dry,Dry,1951_Dry
1952,2,14.85,1/02/1952,Dry,Dry,1951_Dry
1952,3,4.45,1/03/1952,Dry,Dry,1951_Dry
1952,4,6.8,1/04/1952,Dry,Dry,1951_Dry
1952,5,42.95,1/05/1952,Wet,Dry,1952_Wet
1952,6,32.35,1/06/1952,Dry,Dry,1952_Wet
1952,7,77.8,1/07/1952,Wet,Dry,1952_Wet
1952,8,23.75,1/08/1952,Dry,Dry,1952_Dry
1952,9,25.9,1/09/1952,Dry,Dry,1952_Dry
1952,10,17.9,1/10/1952,Dry,Dry,1952_Dry
1952,11,3.7,1/11/1952,Dry,Dry,1952_Dry
1952,12,1.7,1/12/1952,Dry,Dry,1952_Dry
1953,1,0,1/01/1953,Dry,Dry,1952_Dry
1953,2,1.65,1/02/1953,Dry,Dry,1952_Dry
1953,3,38.35,1/03/1953,Dry,Dry,1952_Dry
1953,4,15.1,1/04/1953,Dry,Dry,1952_Dry
1953,5,111.8,1/05/1953,Wet,Dry,1953_Wet
1953,6,92,1/06/1953,Wet,Dry,1953_Wet
1953,7,52,1/07/1953,Wet,Dry,1953_Wet
1953,8,15.5,1/08/1953,Dry,Dry,1953_Dry
1953,9,10.7,1/09/1953,Dry,Dry,1953_Dry
1953,10,23.7,1/10/1953,Dry,Dry,1953_Dry
1953,11,4.1,1/11/1953,Dry,Dry,1953_Dry
1953,12,3.3,1/12/1953,Dry,Dry,1953_Dry
1954,1,32.9,1/01/1954,Dry,Dry,1953_Dry
1954,2,0,1/02/1954,Dry,Dry,1953_Dry
1954,3,0,1/03/1954,Dry,Dry,1953_Dry
1954,4,16.05,1/04/1954,Dry,Dry,1953_Dry
1954,5,45.15,1/05/1954,Wet,Dry,1954_Wet
1954,6,30.25,1/06/1954,Dry,Dry,1954_Wet
1954,7,71.3,1/07/1954,Wet,Dry,1954_Wet
1954,8,35.15,1/08/1954,Dry,Dry,1954_Dry
1954,9,16.75,1/09/1954,Dry,Dry,1954_Dry
1954,10,4.15,1/10/1954,Dry,Dry,1954_Dry
1954,11,4.2,1/11/1954,Dry,Dry,1954_Dry
1954,12,5.45,1/12/1954,Dry,Dry,1954_Dry
1955,1,29.8,1/01/1955,Dry,Dry,1954_Dry
1955,2,112.65,1/02/1955,Wet,Dry,1954_Dry
1955,3,0.75,1/03/1955,Dry,Dry,1954_Dry
1955,4,37.05,1/04/1955,Dry,Dry,1954_Dry
1955,5,68.55,1/05/1955,Wet,Dry,1955_Wet
1955,6,32.45,1/06/1955,Dry,Dry,1955_Wet
1955,7,51.6,1/07/1955,Wet,Dry,1955_Wet
1955,8,138.7,1/08/1955,Wet,Dry,1955_Wet
1955,9,22.45,1/09/1955,Dry,Dry,1955_Dry
1955,10,31.75,1/10/1955,Dry,Dry,1955_Dry
1955,11,0,1/11/1955,Dry,Dry,1955_Dry
1955,12,4.15,1/12/1955,Dry,Dry,1955_Dry
1956,1,0,1/01/1956,Dry,Dry,1955_Dry
1956,2,0,1/02/1956,Dry,Dry,1955_Dry
1956,3,10.2,1/03/1956,Dry,Dry,1955_Dry
1956,4,7.9,1/04/1956,Dry,Dry,1955_Dry
1956,5,101.6,1/05/1956,Wet,Dry,1956_Wet
1956,6,109.75,1/06/1956,Wet,Dry,1956_Wet
1956,7,101.15,1/07/1956,Wet,Dry,1956_Wet
1956,8,15.4,1/08/1956,Dry,Dry,1956_Dry
1956,9,5.25,1/09/1956,Dry,Dry,1956_Dry
1956,10,6.8,1/10/1956,Dry,Dry,1956_Dry
1956,11,4.35,1/11/1956,Dry,Dry,1956_Dry
1956,12,0.5,1/12/1956,Dry,Dry,1956_Dry
1957,1,5.5,1/01/1957,Dry,Dry,1956_Dry
1957,2,1.15,1/02/1957,Dry,Dry,1956_Dry
1957,3,14.85,1/03/1957,Dry,Dry,1956_Dry
1957,4,3.8,1/04/1957,Dry,Dry,1956_Dry
1957,5,37.6,1/05/1957,Dry,Dry,1956_Dry
1957,6,145.25,1/06/1957,Wet,Dry,1957_Wet
1957,7,26.85,1/07/1957,Dry,Dry,1957_Wet
1957,8,77.45,1/08/1957,Wet,Dry,1957_Wet
1957,9,6.5,1/09/1957,Dry,Dry,1957_Dry
1957,10,29.45,1/10/1957,Dry,Dry,1957_Dry
1957,11,0,1/11/1957,Dry,Dry,1957_Dry
1957,12,2.4,1/12/1957,Dry,Dry,1957_Dry
1958,1,17.5,1/01/1958,Dry,Dry,1957_Dry
1958,2,9.5,1/02/1958,Dry,Dry,1957_Dry
1958,3,15.25,1/03/1958,Dry,Dry,1957_Dry
1958,4,3.8,1/04/1958,Dry,Dry,1957_Dry
1958,5,71.7,1/05/1958,Wet,Dry,1958_Wet
1958,6,36.45,1/06/1958,Dry,Dry,1958_Wet
1958,7,201.45,1/07/1958,Wet,Dry,1958_Wet
1958,8,90.2,1/08/1958,Wet,Dry,1958_Wet
1958,9,66.95,1/09/1958,Wet,Dry,1958_Wet
1958,10,13.1,1/10/1958,Dry,Dry,1958_Dry
1958,11,14.85,1/11/1958,Dry,Dry,1958_Dry
1958,12,13.8,1/12/1958,Dry,Dry,1958_Dry
1959,1,1.5,1/01/1959,Dry,Dry,1958_Dry
1959,2,0.25,1/02/1959,Dry,Dry,1958_Dry
1959,3,8.55,1/03/1959,Dry,Dry,1958_Dry
1959,4,18.4,1/04/1959,Dry,Dry,1958_Dry
1959,5,9.4,1/05/1959,Dry,Dry,1958_Dry
1959,6,103.65,1/06/1959,Wet,Dry,1959_Wet
1959,7,28,1/07/1959,Dry,Dry,1959_Wet
1959,8,78.05,1/08/1959,Wet,Dry,1959_Wet
1959,9,4.9,1/09/1959,Dry,Dry,1959_Dry
1959,10,24.15,1/10/1959,Dry,Dry,1959_Dry
1959,11,5.9,1/11/1959,Dry,Dry,1959_Dry
1959,12,1.05,1/12/1959,Dry,Dry,1959_Dry
1960,1,15,1/01/1960,Dry,Dry,1959_Dry
1960,2,38.5,1/02/1960,Dry,Dry,1959_Dry
1960,3,63.2,1/03/1960,Wet,Dry,1960_Wet
1960,4,8.4,1/04/1960,Dry,Dry,1960_Wet
1960,5,72.85,1/05/1960,Wet,Dry,1960_Wet
1960,6,39.05,1/06/1960,Dry,Dry,1960_Wet
1960,7,134.4,1/07/1960,Wet,Dry,1960_Wet
1960,8,11.85,1/08/1960,Dry,Dry,1960_Dry
1960,9,20.15,1/09/1960,Dry,Dry,1960_Dry
1960,10,5.7,1/10/1960,Dry,Dry,1960_Dry
1960,11,0.25,1/11/1960,Dry,Dry,1960_Dry
1960,12,0,1/12/1960,Dry,Dry,1960_Dry
1961,1,16.25,1/01/1961,Dry,Dry,1960_Dry
1961,2,0.4,1/02/1961,Dry,Dry,1960_Dry
1961,3,1.8,1/03/1961,Dry,Dry,1960_Dry
1961,4,113,1/04/1961,Wet,Dry,1960_Dry
1961,5,35,1/05/1961,Dry,Dry,1960_Dry
1961,6,100.4,1/06/1961,Wet,Dry,1961_Wet
1961,7,43.8,1/07/1961,Wet,Dry,1961_Wet
1961,8,48,1/08/1961,Wet,Dry,1961_Wet
1961,9,8.05,1/09/1961,Dry,Dry,1961_Dry
1961,10,3.2,1/10/1961,Dry,Dry,1961_Dry
1961,11,0.75,1/11/1961,Dry,Dry,1961_Dry
1961,12,2.15,1/12/1961,Dry,Dry,1961_Dry
1962,1,11.05,1/01/1962,Dry,Dry,1961_Dry
1962,2,6.1,1/02/1962,Dry,Dry,1961_Dry
1962,3,11.35,1/03/1962,Dry,Dry,1961_Dry
1962,4,7.85,1/04/1962,Dry,Dry,1961_Dry
1962,5,137.35,1/05/1962,Wet,Dry,1962_Wet
1962,6,66.65,1/06/1962,Wet,Dry,1962_Wet
1962,7,51.2,1/07/1962,Wet,Dry,1962_Wet
1962,8,20.9,1/08/1962,Dry,Dry,1962_Dry
1962,9,15.55,1/09/1962,Dry,Dry,1962_Dry
1962,10,26.85,1/10/1962,Dry,Dry,1962_Dry
1962,11,10.7,1/11/1962,Dry,Dry,1962_Dry
1962,12,8.35,1/12/1962,Dry,Dry,1962_Dry
1963,1,53.7,1/01/1963,Wet,Wet,1963_Wet
1963,2,58.8,1/02/1963,Wet,Wet,1963_Wet
1963,3,11,1/03/1963,Dry,Wet,1963_Wet
1963,4,9.6,1/04/1963,Dry,Wet,1963_Wet
1963,5,157.45,1/05/1963,Wet,Wet,1963_Wet
1963,6,123.3,1/06/1963,Wet,Wet,1963_Wet
1963,7,100.95,1/07/1963,Wet,Wet,1963_Wet
1963,8,88.55,1/08/1963,Wet,Wet,1963_Wet
1963,9,16.5,1/09/1963,Dry,Wet,1963_Dry
1963,10,3,1/10/1963,Dry,Wet,1963_Dry
1963,11,6.9,1/11/1963,Dry,Wet,1963_Dry
1963,12,6.9,1/12/1963,Dry,Wet,1963_Dry
1964,1,1.4,1/01/1964,Dry,Dry,1963_Dry
1964,2,15,1/02/1964,Dry,Dry,1963_Dry
1964,3,27.5,1/03/1964,Dry,Dry,1963_Dry
1964,4,22.3,1/04/1964,Dry,Dry,1963_Dry
1964,5,3.8,1/05/1964,Dry,Dry,1963_Dry
1964,6,221.8,1/06/1964,Wet,Dry,1964_Wet
1964,7,116.5,1/07/1964,Wet,Dry,1964_Wet
1964,8,27.1,1/08/1964,Dry,Dry,1964_Dry
1964,9,27.6,1/09/1964,Dry,Dry,1964_Dry
1964,10,13.3,1/10/1964,Dry,Dry,1964_Dry
1964,11,1.3,1/11/1964,Dry,Dry,1964_Dry
1964,12,4.6,1/12/1964,Dry,Dry,1964_Dry
1965,1,2.8,1/01/1965,Dry,Dry,1964_Dry
1965,2,0.9,1/02/1965,Dry,Dry,1964_Dry
1965,3,23.95,1/03/1965,Dry,Dry,1964_Dry
1965,4,7.65,1/04/1965,Dry,Dry,1964_Dry
1965,5,54.4,1/05/1965,Wet,Dry,1965_Wet
1965,6,144.25,1/06/1965,Wet,Dry,1965_Wet
1965,7,92.25,1/07/1965,Wet,Dry,1965_Wet
1965,8,59.1,1/08/1965,Wet,Dry,1965_Wet
1965,9,17.3,1/09/1965,Dry,Dry,1965_Dry
1965,10,34.8,1/10/1965,Dry,Dry,1965_Dry
1965,11,29.8,1/11/1965,Dry,Dry,1965_Dry
1965,12,1.05,1/12/1965,Dry,Dry,1965_Dry
1966,1,0.4,1/01/1966,Dry,Dry,1965_Dry
1966,2,16.25,1/02/1966,Dry,Dry,1965_Dry
1966,3,3.9,1/03/1966,Dry,Dry,1965_Dry
1966,4,102.95,1/04/1966,Wet,Dry,1965_Dry
1966,5,5.55,1/05/1966,Dry,Dry,1965_Dry
1966,6,68,1/06/1966,Wet,Dry,1966_Wet
1966,7,52.3,1/07/1966,Wet,Dry,1966_Wet
1966,8,44.8,1/08/1966,Wet,Dry,1966_Wet
1966,9,36.25,1/09/1966,Dry,Dry,1966_Dry
1966,10,15.4,1/10/1966,Dry,Dry,1966_Dry
1966,11,0,1/11/1966,Dry,Dry,1966_Dry
1966,12,0.15,1/12/1966,Dry,Dry,1966_Dry
1967,1,21.05,1/01/1967,Dry,Dry,1966_Dry
1967,2,0.9,1/02/1967,Dry,Dry,1966_Dry
1967,3,0.65,1/03/1967,Dry,Dry,1966_Dry
1967,4,13.85,1/04/1967,Dry,Dry,1966_Dry
1967,5,73.35,1/05/1967,Wet,Dry,1967_Wet
1967,6,130.5,1/06/1967,Wet,Dry,1967_Wet
1967,7,88.4,1/07/1967,Wet,Dry,1967_Wet
1967,8,36.95,1/08/1967,Dry,Dry,1967_Dry
1967,9,21.6,1/09/1967,Dry,Dry,1967_Dry
1967,10,12.85,1/10/1967,Dry,Dry,1967_Dry
1967,11,1.4,1/11/1967,Dry,Dry,1967_Dry
1967,12,22.2,1/12/1967,Dry,Dry,1967_Dry
1968,1,40.55,1/01/1968,Wet,Dry,1967_Dry
1968,2,21.9,1/02/1968,Dry,Dry,1967_Dry
1968,3,21.95,1/03/1968,Dry,Dry,1967_Dry
1968,4,45.25,1/04/1968,Wet,Dry,1968_Wet
1968,5,40.65,1/05/1968,Wet,Dry,1968_Wet
1968,6,224.75,1/06/1968,Wet,Dry,1968_Wet
1968,7,57.8,1/07/1968,Wet,Dry,1968_Wet
1968,8,50.25,1/08/1968,Wet,Dry,1968_Wet
1968,9,40.2,1/09/1968,Wet,Dry,1968_Wet
1968,10,15.05,1/10/1968,Dry,Dry,1968_Dry
1968,11,8,1/11/1968,Dry,Dry,1968_Dry
1968,12,0,1/12/1968,Dry,Dry,1968_Dry
1969,1,5.6,1/01/1969,Dry,Dry,1968_Dry
1969,2,12.45,1/02/1969,Dry,Dry,1968_Dry
1969,3,1.4,1/03/1969,Dry,Dry,1968_Dry
1969,4,11.5,1/04/1969,Dry,Dry,1968_Dry
1969,5,77.55,1/05/1969,Wet,Dry,1969_Wet
1969,6,53.55,1/06/1969,Wet,Dry,1969_Wet
1969,7,42.05,1/07/1969,Wet,Dry,1969_Wet
1969,8,15.8,1/08/1969,Dry,Dry,1969_Dry
1969,9,6.6,1/09/1969,Dry,Dry,1969_Dry
1969,10,2.4,1/10/1969,Dry,Dry,1969_Dry
1969,11,22.25,1/11/1969,Dry,Dry,1969_Dry
1969,12,9.75,1/12/1969,Dry,Dry,1969_Dry
1970,1,1.55,1/01/1970,Dry,Dry,1969_Dry
1970,2,99.65,1/02/1970,Wet,Dry,1969_Dry
1970,3,0,1/03/1970,Dry,Dry,1969_Dry
1970,4,33.1,1/04/1970,Dry,Dry,1969_Dry
1970,5,31.25,1/05/1970,Dry,Dry,1970_Wet
1970,6,123.55,1/06/1970,Wet,Dry,1970_Wet
1970,7,33.75,1/07/1970,Dry,Dry,1970_Wet
1970,8,26.25,1/08/1970,Dry,Dry,1970_Wet
1970,9,48.3,1/09/1970,Wet,Dry,1970_Wet
1970,10,17,1/10/1970,Dry,Dry,1970_Dry
1970,11,0,1/11/1970,Dry,Dry,1970_Dry
1970,12,23.75,1/12/1970,Dry,Dry,1970_Dry
1971,1,11.95,1/01/1971,Dry,Dry,1970_Dry
1971,2,12.95,1/02/1971,Dry,Dry,1970_Dry
1971,3,141.9,1/03/1971,Wet,Dry,1971_Wet
1971,4,2.7,1/04/1971,Dry,Dry,1971_Wet
1971,5,25.75,1/05/1971,Dry,Dry,1971_Wet
1971,6,55.8,1/06/1971,Wet,Dry,1971_Wet
1971,7,37.35,1/07/1971,Dry,Dry,1971_Wet
1971,8,49.4,1/08/1971,Wet,Dry,1971_Wet
1971,9,38.2,1/09/1971,Dry,Dry,1971_Dry
1971,10,30.8,1/10/1971,Dry,Dry,1971_Dry
1971,11,6.75,1/11/1971,Dry,Dry,1971_Dry
1971,12,1.25,1/12/1971,Dry,Dry,1971_Dry
1972,1,1.15,1/01/1972,Dry,Dry,1971_Dry
1972,2,5.2,1/02/1972,Dry,Dry,1971_Dry
1972,3,1.25,1/03/1972,Dry,Dry,1971_Dry
1972,4,3.5,1/04/1972,Dry,Dry,1971_Dry
1972,5,33.85,1/05/1972,Dry,Dry,1971_Dry
1972,6,52.65,1/06/1972,Wet,Dry,1972_Wet
1972,7,118.45,1/07/1972,Wet,Dry,1972_Wet
1972,8,81,1/08/1972,Wet,Dry,1972_Wet
1972,9,15.3,1/09/1972,Dry,Dry,1972_Dry
1972,10,22.05,1/10/1972,Dry,Dry,1972_Dry
1972,11,14.9,1/11/1972,Dry,Dry,1972_Dry
1972,12,0.5,1/12/1972,Dry,Dry,1972_Dry
1973,1,2.8,1/01/1973,Dry,Dry,1972_Dry
1973,2,1.65,1/02/1973,Dry,Dry,1972_Dry
1973,3,0.65,1/03/1973,Dry,Dry,1972_Dry
1973,4,21.5,1/04/1973,Dry,Dry,1972_Dry
1973,5,46.55,1/05/1973,Wet,Dry,1973_Wet
1973,6,56.4,1/06/1973,Wet,Dry,1973_Wet
1973,7,96.05,1/07/1973,Wet,Dry,1973_Wet
1973,8,50.85,1/08/1973,Wet,Dry,1973_Wet
1973,9,76.15,1/09/1973,Wet,Dry,1973_Wet
1973,10,9.05,1/10/1973,Dry,Dry,1973_Dry
1973,11,26.3,1/11/1973,Dry,Dry,1973_Dry
1973,12,16.4,1/12/1973,Dry,Dry,1973_Dry
1974,1,1.8,1/01/1974,Dry,Dry,1973_Dry
1974,2,4.45,1/02/1974,Dry,Dry,1973_Dry
1974,3,59.7,1/03/1974,Wet,Dry,1974_Wet
1974,4,41,1/04/1974,Wet,Dry,1974_Wet
1974,5,97.2,1/05/1974,Wet,Dry,1974_Wet
1974,6,74.5,1/06/1974,Wet,Dry,1974_Wet
1974,7,102.05,1/07/1974,Wet,Dry,1974_Wet
1974,8,60,1/08/1974,Wet,Dry,1974_Wet
1974,9,27.9,1/09/1974,Dry,Dry,1974_Dry
1974,10,19.2,1/10/1974,Dry,Dry,1974_Dry
1974,11,20.7,1/11/1974,Dry,Dry,1974_Dry
1974,12,0,1/12/1974,Dry,Dry,1974_Dry
1975,1,0,1/01/1975,Dry,Dry,1974_Dry
1975,2,13.35,1/02/1975,Dry,Dry,1974_Dry
1975,3,62.6,1/03/1975,Wet,Dry,1975_Wet
1975,4,100.6,1/04/1975,Wet,Dry,1975_Wet
1975,5,35.7,1/05/1975,Dry,Dry,1975_Wet
1975,6,70.2,1/06/1975,Wet,Dry,1975_Wet
1975,7,100.7,1/07/1975,Wet,Dry,1975_Wet
1975,8,27.75,1/08/1975,Dry,Dry,1975_Wet
1975,9,28.1,1/09/1975,Dry,Dry,1975_Wet
1975,10,42.8,1/10/1975,Wet,Dry,1975_Wet
1975,11,3.4,1/11/1975,Dry,Dry,1975_Dry
1975,12,5.6,1/12/1975,Dry,Dry,1975_Dry
1976,1,10.6,1/01/1976,Dry,Dry,1975_Dry
1976,2,15.1,1/02/1976,Dry,Dry,1975_Dry
1976,3,9.7,1/03/1976,Dry,Dry,1975_Dry
