cell_ID,slope,slope_Factor
0,0.005692,0.952157
1,0.027834,0.766058
2,0.017559,0.852413
3,0.030118,0.746856
4,0.010269,0.913688
5,0.023061,0.806171
6,0.010669,0.910323
7,0.013049,0.890319
8,0.004637,0.961026
9,0.026188,0.779892
10,0.008154,0.931467
11,0.013497,0.886556
12,0.014027,0.882104
13,0.014688,0.876549
14,0.009675,0.918683
15,0.018586,0.843787
16,0.020382,0.828689
17,0.017137,0.855965
18,0.026744,0.775213
19,0.019990,0.831984
20,0.007593,0.936183
21,0.027547,0.768464
22,0.035685,0.700066
23,0.033852,0.715478
24,0.036068,0.696847
25,0.029877,0.748887
26,0.017892,0.849615
27,0.028143,0.763460
28,0.017477,0.853107
29,0.024721,0.792216
30,0.008591,0.927791
31,0.007214,0.939363
32,0.032947,0.723077
33,0.030561,0.743131
34,0.016993,0.857170
35,0.024502,0.794062
36,0.024018,0.798125
37,0.035747,0.699546
38,0.013105,0.889848
39,0.029597,0.751241
40,0.004939,0.958485
41,0.006365,0.946506
42,0.016785,0.858919
43,0.013683,0.884995
44,0.012935,0.891285
45,0.021350,0.820551
46,0.020622,0.826675
47,0.004719,0.960340
48,0.004109,0.965460
49,0.017158,0.855787
50,0.024995,0.789919
51,0.013887,0.883280
52,0.019379,0.837121
53,0.006713,0.943576
54,0.006834,0.942560
55,0.011125,0.906497
56,0.022569,0.810307
57,0.009856,0.917161
58,0.018900,0.841143
59,0.017001,0.857106
60,0.011887,0.900090
61,0.019463,0.836415
62,0.012017,0.898995
63,0.025966,0.781757
64,0.001941,0.983687
65,0.019911,0.832651
66,0.019716,0.834288
67,0.023094,0.805896
68,0.008486,0.928674
69,0.010204,0.914233
70,0.019636,0.834960
71,0.008211,0.930989
72,0.008688,0.926975
73,0.004986,0.958094
74,0.004276,0.964058
75,0.016607,0.860417
76,0.008061,0.932251
77,0.017345,0.854214
78,0.009847,0.917236
79,0.014709,0.876368
80,0.012892,0.891644
81,0.006764,0.943146
82,0.003270,0.972518
83,0.023880,0.799291
84,0.017203,0.855409
85,0.004332,0.963592
86,0.033485,0.718555
87,0.030150,0.746588
88,0.027584,0.768155
89,0.006077,0.948921
90,0.032990,0.722717
91,0.047213,0.603172
92,0.005576,0.953133
93,0.004635,0.961047
94,0.045924,0.614006
95,0.005493,0.953828
96,0.024375,0.795125
97,0.030152,0.746574
98,0.035467,0.701898
99,0.020700,0.826017
100,0.025568,0.785098
101,0.014897,0.874788
102,0.032542,0.726482
103,0.036200,0.695742
104,0.025140,0.788701
105,0.019938,0.832423
106,0.014304,0.879773
107,0.029458,0.752409
108,0.015912,0.866256
109,0.023433,0.803048
110,0.018959,0.840649
111,0.035183,0.704290
112,0.030912,0.740186
113,0.013663,0.885166
114,0.040463,0.659911
115,0.009947,0.916395
116,0.014929,0.874525
117,0.031553,0.734793
118,0.024478,0.794262
119,0.009988,0.916047
120,0.004718,0.960348
121,0.017336,0.854290
122,0.017904,0.849516
123,0.016813,0.858688
124,0.035862,0.698583
125,0.036174,0.695954
126,0.017417,0.853612
127,0.013532,0.886264
128,0.030618,0.742659
129,0.018333,0.845907
130,0.006082,0.948880
131,0.038094,0.679818
132,0.025225,0.787980
133,0.017814,0.850277
134,0.029151,0.754982
135,0.026537,0.776953
136,0.018673,0.843053
137,0.014562,0.877605
138,0.025092,0.789098
139,0.026220,0.779617
140,0.019441,0.836595
141,0.020344,0.829012
