SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
508014,508014,Rain/climate,Rain/climate,MET,Arrowsmith River - Yarragadee,Yarragadee,11263 [WIN_ID]; 508014 [MET]; 508014 [SITE_REF],,50,358747.04,6738363.49,-29.476257269,115.543116020,GDA2020
508015,508015,Rain/climate,Rain/climate,MET,Arrowsmith River - Mooladarra,Mooladarra,11264 [WIN_ID]; 508015 [MET]; 508015 [SITE_REF],,50,349619.08,6725960.49,-29.587092299,115.447289302,GDA2020
508019,508019,Rain/climate,Rain/climate,MET,Irwin River - Mondara,Mondara,11268 [WIN_ID]; 508019 [MET]; 508019 [SITE_REF],,50,322536.01,6759099.48,-29.284589034,115.173122127,GDA2020
508024,508024,Rain/climate,Rain/climate,MET,Arrowsmith River - Robb Crossing,Robb Crossing,11273 [WIN_ID]; 508024 [MET]; 508024 [SITE_REF],,50,334199.07,6722264.49,-29.618477031,115.287567950,GDA2020
508035,508035,Rain/climate,Rain/climate,MET,Arrowsmith River - Arrino,Arrino,11284 [WIN_ID]; 508035 [MET]; 508035 [SITE_REF],,50,360440.03,6739651.48,-29.464826391,115.560737080,GDA2020
6170006,6170006,Surface (other),Sampling location,AWRC,Warradarge River - Unnamed,Unnamed,23020461 [WIN_ID]; 6170006 [SITE_REF],,50,339273.05,6673946.49,-30.055020437,115.332729958,GDA2020
61700312,61700312,Groundwater,Bore or Well,AWRC,Warradarge - 07Az5D,07Az5D,23072480 [WIN_ID]; 61700312 [SITE_REF],,50,347577.07,6674239.49,-30.053441139,115.418883931,GDA2020
61700313,61700313,Groundwater,Bore or Well,AWRC,Warradarge - 07Az5Ob,07Az5Ob,23072481 [WIN_ID]; 61700313 [SITE_REF],,50,347577.07,6674239.49,-30.053441139,115.418883931,GDA2020
61700314,61700314,Groundwater,Bore or Well,AWRC,Eganu - 07Dp10D,07Dp10D,23072482 [WIN_ID]; 61700314 [SITE_REF],,50,358378.04,6681544.49,-29.988837582,115.531864202,GDA2020
61700315,61700315,Groundwater,Bore or Well,AWRC,Warradarge - Farm,Farm,23072529 [WIN_ID]; 61700315 [SITE_REF],,50,356140.05,6675151.50,-30.046251361,115.507806973,GDA2020
61700316,61700316,Groundwater,Bore or Well,AWRC,Kadathinni - Marron,Marron,23072535 [WIN_ID]; 61700316 [SITE_REF],,50,354140.11,6714351.67,-29.692364440,115.492396505,GDA2020
61700335,61700335,Groundwater,Bore or Well,AWRC,Eganu - Paddock,Paddock,23072448 [WIN_ID]; 61700335 [SITE_REF],,50,383230.21,6671401.41,-30.082974222,115.788329993,GDA2020
61700344,61700344,Groundwater,Bore or Well,AWRC,Eganu - Sandy Hollow,Sandy Hollow,23072459 [WIN_ID]; 61700344 [SITE_REF],,50,381110.19,6672301.42,-30.074649331,115.766436490,GDA2020
61700356,61700356,Groundwater,Bore or Well,AWRC,Warradarge - Rto2,Rto2,23067393 [WIN_ID]; 61700356 [SITE_REF],,50,348168.07,6677118.49,-30.027542851,115.425423385,GDA2020
61700357,61700357,Groundwater,Bore or Well,AWRC,Warrradarge - Rto4,Rto4,23067394 [WIN_ID]; 61700357 [SITE_REF],,50,352299.06,6678397.49,-30.016510212,115.468428362,GDA2020
61700358,61700358,Groundwater,Bore or Well,AWRC,Warradarge - Wsx3,Wsx3,23067395 [WIN_ID]; 61700358 [SITE_REF],,50,345429.07,6674862.49,-30.047551303,115.396700027,GDA2020
61700359,61700359,Groundwater,Bore or Well,AWRC,Carnamah - Dso5,Dso5,23067396 [WIN_ID]; 61700359 [SITE_REF],,50,367799.03,6695216.46,-29.866539990,115.631192749,GDA2020
61700367,61700367,Groundwater,Bore or Well,AWRC,Eneabba - B1,B1,23070874 [WIN_ID]; 61700367 [SITE_REF],,50,328005.06,6696900.49,-29.846434938,115.219583001,GDA2020
61700368,61700368,Groundwater,Bore or Well,AWRC,Eneabba - B2,B2,23070875 [WIN_ID]; 61700368 [SITE_REF],,50,327784.06,6696903.48,-29.846377024,115.217296704,GDA2020
61700369,61700369,Groundwater,Bore or Well,AWRC,Eneabba - B3,B3,23070876 [WIN_ID]; 61700369 [SITE_REF],,50,327640.06,6696654.48,-29.848602988,115.215766741,GDA2020
61700393,61700393,Groundwater,Bore or Well,AWRC,Carnamah - Ds M7A,Ds M7A,23070900 [WIN_ID]; 61700393 [SITE_REF],,50,366274.03,6695303.46,-29.865590388,115.615417579,GDA2020
61700394,61700394,Groundwater,Bore or Well,AWRC,Carnamah - Ds M7B,Ds M7B,23070901 [WIN_ID]; 61700394 [SITE_REF],,50,366274.03,6695304.46,-29.865581366,115.615417704,GDA2020
61700395,61700395,Groundwater,Bore or Well,AWRC,Eneabba - Ds M9A,Ds M9A,23070902 [WIN_ID]; 61700395 [SITE_REF],,50,357561.03,6692042.48,-29.894033265,115.524795379,GDA2020
61700396,61700396,Groundwater,Bore or Well,AWRC,Eneabba - Ds M9B,Ds M9B,23070903 [WIN_ID]; 61700396 [SITE_REF],,50,357561.03,6692041.48,-29.894042286,115.524795247,GDA2020
61700428,61700428,Groundwater,Bore or Well,AWRC,Eneabba - Em40,Em40,23070935 [WIN_ID]; 61700428 [SITE_REF],,50,336202.03,6702383.49,-29.798090033,115.305237611,GDA2020
61700429,61700429,Groundwater,Bore or Well,AWRC,Eneabba - Em41,Em41,23070936 [WIN_ID]; 61700429 [SITE_REF],,50,336647.03,6703483.49,-29.788225918,115.310006969,GDA2020
61700430,61700430,Groundwater,Bore or Well,AWRC,Eneabba - Em42,Em42,23070937 [WIN_ID]; 61700430 [SITE_REF],,50,336655.03,6703023.49,-29.792376618,115.310019971,GDA2020
61700431,61700431,Groundwater,Bore or Well,AWRC,Eneabba - Em43,Em43,23070938 [WIN_ID]; 61700431 [SITE_REF],,50,335689.03,6703280.49,-29.789930138,115.300068550,GDA2020
61700432,61700432,Groundwater,Bore or Well,AWRC,Eneabba - Em44,Em44,23070939 [WIN_ID]; 61700432 [SITE_REF],,50,337757.03,6702933.49,-29.793333730,115.321403665,GDA2020
61700451,61700451,Groundwater,Bore or Well,AWRC,Eneabba - Em63,Em63,23070958 [WIN_ID]; 61700451 [SITE_REF],,50,335848.02,6696601.49,-29.850201675,115.300693787,GDA2020
61700452,61700452,Groundwater,Bore or Well,AWRC,Eneabba - Em64,Em64,23070959 [WIN_ID]; 61700452 [SITE_REF],,50,335972.02,6696734.49,-29.849018411,115.301997276,GDA2020
61700453,61700453,Groundwater,Bore or Well,AWRC,Eneabba - Em65,Em65,23070960 [WIN_ID]; 61700453 [SITE_REF],,50,335790.02,6696751.49,-29.848840824,115.300116527,GDA2020
61700454,61700454,Groundwater,Bore or Well,AWRC,Eneabba - Em66,Em66,23070961 [WIN_ID]; 61700454 [SITE_REF],,50,335446.03,6696984.49,-29.846693096,115.296592499,GDA2020
61700455,61700455,Groundwater,Bore or Well,AWRC,Eneabba - Em67,Em67,23070962 [WIN_ID]; 61700455 [SITE_REF],,50,335326.04,6700019.49,-29.819298825,115.295815716,GDA2020
61700456,61700456,Groundwater,Bore or Well,AWRC,Eneabba - Em68,Em68,23070963 [WIN_ID]; 61700456 [SITE_REF],,50,335437.04,6700753.49,-29.812692335,115.297076250,GDA2020
61700457,61700457,Groundwater,Bore or Well,AWRC,Eneabba - Em69A,Em69A,23070964 [WIN_ID]; 61700457 [SITE_REF],,50,336335.03,6700861.49,-29.811837484,115.306381878,GDA2020
61700458,61700458,Groundwater,Bore or Well,AWRC,Eneabba - Em70A,Em70A,23070965 [WIN_ID]; 61700458 [SITE_REF],,50,335565.04,6701111.49,-29.809479930,115.298455007,GDA2020
61700459,61700459,Groundwater,Bore or Well,AWRC,Eneabba - Em71,Em71,23070966 [WIN_ID]; 61700459 [SITE_REF],,50,335258.03,6703870.48,-29.784550413,115.295701351,GDA2020
61700460,61700460,Groundwater,Bore or Well,AWRC,Eneabba - Em72,Em72,23070967 [WIN_ID]; 61700460 [SITE_REF],,50,336385.03,6704101.49,-29.782616306,115.307391217,GDA2020
61700461,61700461,Groundwater,Bore or Well,AWRC,Eneabba - Em73,Em73,23070968 [WIN_ID]; 61700461 [SITE_REF],,50,335130.03,6704646.48,-29.777533121,115.294496327,GDA2020
61700462,61700462,Groundwater,Bore or Well,AWRC,Eneabba - Em74,Em74,23070969 [WIN_ID]; 61700462 [SITE_REF],,50,336298.03,6705384.49,-29.771030896,115.306686331,GDA2020
