SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
61700316,61700316,Groundwater,Bore or Well,AWRC,Kadathinni - Marron,Marron,23072535 [WIN_ID]; 61700316 [SITE_REF],,50,354140.11,6714351.67,-29.692364440,115.492396505,GDA2020
61700359,61700359,Groundwater,Bore or Well,AWRC,Carnamah - Dso5,Dso5,23067396 [WIN_ID]; 61700359 [SITE_REF],,50,367799.03,6695216.46,-29.866539990,115.631192749,GDA2020
61700393,61700393,Groundwater,Bore or Well,AWRC,Carnamah - Ds M7A,Ds M7A,23070900 [WIN_ID]; 61700393 [SITE_REF],,50,366274.03,6695303.46,-29.865590388,115.615417579,GDA2020
61700394,61700394,Groundwater,Bore or Well,AWRC,Carnamah - Ds M7B,Ds M7B,23070901 [WIN_ID]; 61700394 [SITE_REF],,50,366274.03,6695304.46,-29.865581366,115.615417704,GDA2020
61700395,61700395,Groundwater,Bore or Well,AWRC,Eneabba - Ds M9A,Ds M9A,23070902 [WIN_ID]; 61700395 [SITE_REF],,50,357561.03,6692042.48,-29.894033265,115.524795379,GDA2020
61700396,61700396,Groundwater,Bore or Well,AWRC,Eneabba - Ds M9B,Ds M9B,23070903 [WIN_ID]; 61700396 [SITE_REF],,50,357561.03,6692041.48,-29.894042286,115.524795247,GDA2020
61700586,61700586,Groundwater,Bore or Well,AWRC,Kadathinni - Tathra Pb1,Tathra Pb1,23071093 [WIN_ID]; 61700586 [SITE_REF],,50,361484.02,6714340.45,-29.693307665,115.568281263,GDA2020
61700587,61700587,Groundwater,Bore or Well,AWRC,Kadathinni - Tmb01,Tmb01,23071094 [WIN_ID]; 61700587 [SITE_REF],,50,363141.03,6720751.46,-29.635649542,115.586213129,GDA2020
61700588,61700588,Groundwater,Bore or Well,AWRC,Kadathinni - Tmb02D,Tmb02D,23071095 [WIN_ID]; 61700588 [SITE_REF],,50,364320.02,6717815.46,-29.662268548,115.598022220,GDA2020
61700589,61700589,Groundwater,Bore or Well,AWRC,Kadathinni - Tmb02S,Tmb02S,23071096 [WIN_ID]; 61700589 [SITE_REF],,50,364320.02,6717812.46,-29.662295615,115.598021845,GDA2020
61700590,61700590,Groundwater,Bore or Well,AWRC,Kadathinni - Tmb03D,Tmb03D,23071097 [WIN_ID]; 61700590 [SITE_REF],,50,361154.03,6719030.46,-29.650956523,115.565472135,GDA2020
61700591,61700591,Groundwater,Bore or Well,AWRC,Kadathinni - Tmb03S,Tmb03S,23071098 [WIN_ID]; 61700591 [SITE_REF],,50,361157.03,6719030.46,-29.650956858,115.565503122,GDA2020
61700686,61700686,Groundwater,Bore or Well,AWRC,Kadathinni - Tathara Tobs,Tathara Tobs,23069679 [WIN_ID]; 61700686 [SITE_REF],,50,363141.03,6720751.46,-29.635649542,115.586213129,GDA2020
61700687,61700687,Groundwater,Bore or Well,AWRC,Kadathinni - Tathara Tpb,Tathara Tpb,23069680 [WIN_ID]; 61700687 [SITE_REF],,50,363141.03,6720751.46,-29.635649542,115.586213129,GDA2020
61710392,61710392,Groundwater,Bore or Well,AWRC,Three Springs Region - Bone 2,Bone 2,23025933 [WIN_ID]; 61710392 [SITE_REF]; PC041002 [TEXT_REF],PC041002,50,361143.47,6738006.57,-29.479745835,115.567781113,GDA2020
61710393,61710393,Groundwater,Bore or Well,AWRC,Three Springs Region - Bone 1,Bone 1,23025934 [WIN_ID]; 61710393 [SITE_REF]; PC041001 [TEXT_REF],PC041001,50,362336.00,6736858.38,-29.490237220,115.579933705,GDA2020
61710405,61710405,Groundwater,Bore or Well,AWRC,Three Springs Region - Pugh 3,Pugh 3,23025946 [WIN_ID]; 61710405 [SITE_REF]; PC111003 [TEXT_REF],PC111003,50,355280.93,6732892.18,-29.525224467,115.506652264,GDA2020
61710406,61710406,Groundwater,Bore or Well,AWRC,Three Springs Region - Pugh 2,Pugh 2,23025947 [WIN_ID]; 61710406 [SITE_REF]; PC111002 [TEXT_REF],PC111002,50,355921.33,6730763.50,-29.544503812,115.512977663,GDA2020
61710407,61710407,Groundwater,Bore or Well,AWRC,Three Springs Region - Pugh 1,Pugh 1,23025948 [WIN_ID]; 61710407 [SITE_REF]; PC111001 [TEXT_REF],PC111001,50,356489.89,6730039.53,-29.551101147,115.518748821,GDA2020
61710411,61710411,Groundwater,Bore or Well,AWRC,Three Springs Region - Morgan 1,Morgan 1,23025952 [WIN_ID]; 61710411 [SITE_REF]; PC260901 [TEXT_REF],PC260901,50,351129.19,6730927.32,-29.542463252,115.463555338,GDA2020
61710412,61710412,Groundwater,Bore or Well,AWRC,Three Springs Region - Morgan 2,Morgan 2,23025953 [WIN_ID]; 61710412 [SITE_REF]; PC260902 [TEXT_REF],PC260902,50,356475.75,6727589.15,-29.573207370,115.518280190,GDA2020
61710414,61710414,Groundwater,Bore or Well,AWRC,Three Springs Region - Heitman 3,Heitman 3,23025955 [WIN_ID]; 61710414 [SITE_REF]; PC250901 [TEXT_REF],PC250901,50,349063.75,6750868.24,-29.362307804,115.444991385,GDA2020
61710415,61710415,Groundwater,Bore or Well,AWRC,Three Springs Region - Heitman 4,Heitman 4,23025956 [WIN_ID]; 61710415 [SITE_REF]; PC250902 [TEXT_REF],PC250902,50,349063.75,6750868.24,-29.362307804,115.444991385,GDA2020
61710416,61710416,Groundwater,Bore or Well,AWRC,Three Springs Region - Heitman 5,Heitman 5,23025957 [WIN_ID]; 61710416 [SITE_REF]; PC250903 [TEXT_REF],PC250903,50,349063.75,6750868.24,-29.362307804,115.444991385,GDA2020
