Site Ref,Aquifer Name,Depth From/To (mbGL),Comments,Site Short Name,Easting,Northing,From (mbGL),To (mbGL),Inside Dia. (mm)
61710405,Perth-Parmelia, - ,Reported aquifer: Perth - Parmelia  ,Pugh 3,355280.93,6732892.18,132.0,150.0,155.0
61718118,Perth-Parmelia, - ,,El1C,370715.02,6702778.46,230.0,236.0,
61718120,Perth-Parmelia, - ,,El2B,364348.02,6702691.47,224.0,236.0,
61718123,Perth-Parmelia, - ,,El3B,357897.03,6702372.47,472.3,478.3,
61718124,Perth-Parmelia, - ,,El3C,357907.03,6702379.47,71.3,77.3,
61718126,Perth-Parmelia, - ,,El4A,350580.01,6702014.45,35.1,41.1,
70100002,Perth-Parmelia, - ,Comment: Conceptually this bore monitors overflow/artesian pressure from the adjacent Parmelia Aquifer  ,WNR1C,348301.08,6728684.5,1.0,7.0,50.0
70100003,Perth-Leederville-Parmelia, - ,,WNR2A,349001.08,6728266.5,35.5,37.5,50.0
70100004,Perth-Parmelia, - ,,WNR2B,348999.08,6728267.5,26.0,28.0,50.0
70100005,Perth-Leederville-Parmelia, - ,,WNR2C,348999.08,6728267.5,17.0,19.0,50.0
70100006,Perth-Parmelia, - ,,WNR2D,348999.08,6728261.5,8.0,11.0,50.0
70100007,Perth-Leederville-Parmelia, - ,,WNR3A,348682.08,6729028.5,27.5,29.5,50.0
70100008,Perth-Leederville-Parmelia, - ,,WNR3B,348680.08,6729026.5,17.0,19.0,50.0
70100009,Perth-Leederville-Parmelia, - ,,WNR3C,348682.08,6729028.5,7.5,13.5,50.0
70112636,Perth-Parmelia, - ,,AR1,356650.04,6740425.49,,,
70118001,Perth-Parmelia, - ,,AR6(ART),353561.05,6739888.49,,,
70118002,Perth-Parmelia, - ,,AR7,357945.03,6741087.48,,,
70118003,Perth-Parmelia, - ,,AR9,359751.05,6735767.49,83.82,99.06,127.0
70118004,Perth-Parmelia, - ,,AR10(ART),355048.04,6740367.49,,,
70118005,Perth-Parmelia, - ,,AR11,356028.03,6741139.48,0.0,0.0,
70118006,Perth-Parmelia, - ,,AR12(ART),354317.04,6741006.49,78.0,85.34,
70118007,Perth-Parmelia, - ,,AR13,355983.04,6739544.49,140.21,155.45,
70118008,Perth-Parmelia, - ,,AR14,354669.05,6739239.49,105.16,117.96,
70118009,Perth-Parmelia, - ,,AR15,358795.04,6738632.49,,,
70118010,Perth-Parmelia, - ,,AR16,355504.06,6737077.49,109.12,126.49,
70118011,Perth-Parmelia, - ,,AR17,354146.03,6742934.49,,,
70118012,Perth-Parmelia, - ,,AR18,351541.06,6740262.49,,,
70118013,Perth-Parmelia, - ,,AR20,351753.08,6735089.5,114.91,123.44,127.0
70118014,Perth-Parmelia, - ,,AR21,352934.03,6744728.49,85.34,86.56,
70118015,Perth-Parmelia, - ,,AR22,353234.03,6747057.49,,,
70118016,Perth-Parmelia, - ,,AR23,355489.07,6732905.49,97.54,103.63,
70118018,Perth-Parmelia, - ,,AR26,362384.03,6720859.46,67.67,76.2,
70118019,Perth-Parmelia, - ,,AR27,349203.04,6746458.5,263.96,270.05,
70118020,Perth-Parmelia, - ,,AR8,350166.08,6736087.5,95.1,104.24,
70118021,Perth-Parmelia, - ,,AR19,351629.04,6743131.49,202.08,210.31,
70119012,Perth-Parmelia, - ,,No.2,358864.02,6742346.48,51.12,58.57,
70119309,Perth-Parmelia, - ,,DL5W,356877.01,6752563.49,102.0,108.0,102.0
