SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
61610581,61610581,Groundwater,Bore or Well,AWRC,Joondalup Monitoring - JP21,JP21,2034-4-NE-0080 [AQWAB]; 4922 [WIN_ID]; 61610581 [SITE_REF],,50,375061.01,6504770.51,-31.585359649,115.683213585,GDA2020
61610582,61610582,Groundwater,Bore or Well,AWRC,Yanchep Beach - YB11,YB11,2034-4-NE-0028 [AQWAB]; 4923 [WIN_ID]; 61610582 [SITE_REF],,50,373688.00,6507794.50,-31.557933403,115.669133733,GDA2020
61610585,61610585,Groundwater,Bore or Well,AWRC,Joondalup Monitoring - JP19,JP19,2034-4-NE-0079 [AQWAB]; 4926 [WIN_ID]; 61610585 [SITE_REF],,50,378161.46,6502987.30,-31.601776852,115.715662756,GDA2020
61610586,61610586,Groundwater,Bore or Well,AWRC,Joondalup Monitoring - JP23,JP23,2034-4-NE-0085 [AQWAB]; 4927 [WIN_ID]; 61610586 [SITE_REF],,50,378303.35,6506267.12,-31.572207519,115.717563450,GDA2020
61610587,61610587,Groundwater,Bore or Well,AWRC,Pinjar Monitoring - PM27,PM27,4928 [WIN_ID]; 61610587 [SITE_REF],,50,377320.98,6508097.74,-31.555590815,115.707441321,GDA2020
61610588,61610588,Groundwater,Bore or Well,AWRC,Yanchep Monitoring - YY2 (I),YY2 (I),2034-4-NE-0071 [AQWAB]; 4929 [WIN_ID]; 61610588 [SITE_REF],,50,377713.47,6510213.62,-31.536546929,115.711838018,GDA2020
61610589,61610589,Groundwater,Bore or Well,AWRC,Yanchep Monitoring - YY2 (O),YY2 (O),2034-4-NE-0072 [AQWAB]; 4930 [WIN_ID]; 61610589 [SITE_REF],,50,377689.83,6510193.60,-31.536725006,115.711586569,GDA2020
61610594,61610594,Groundwater,Bore or Well,AWRC,Pinjar Monitoring - PM29,PM29,4935 [WIN_ID]; 61610594 [SITE_REF],,50,379621.42,6504616.75,-31.587232751,115.731248711,GDA2020
61610595,61610595,Groundwater,Bore or Well,AWRC,Pinjar Monitoring - PM28,PM28,4936 [WIN_ID]; 61610595 [SITE_REF],,50,379971.34,6508382.94,-31.553297514,115.735394643,GDA2020
61610603,61610603,Groundwater,Bore or Well,AWRC,Pinjar Monitoring - PM31,PM31,4944 [WIN_ID]; 61610603 [SITE_REF],,50,380399.98,6502354.87,-31.607716553,115.739177948,GDA2020
61610608,61610608,Groundwater,Bore or Well,AWRC,Yeal Observation - Y240,Y240,4949 [WIN_ID]; 61610608 [SITE_REF],,50,381346.71,6512441.40,-31.516831329,115.750370114,GDA2020
61610615,61610615,Groundwater,Bore or Well,AWRC,Pinjar Observation - P280,P280,4956 [WIN_ID]; 61610615 [SITE_REF],,50,382456.83,6502625.91,-31.605483901,115.760889250,GDA2020
61610617,61610617,Groundwater,Bore or Well,AWRC,Pinjar Observation - P300,P300,4958 [WIN_ID]; 61610617 [SITE_REF],,50,382519.24,6504644.15,-31.587285162,115.761787862,GDA2020
61610619,61610619,Groundwater,Bore or Well,AWRC,Pinjar Observation - P320,P320,4960 [WIN_ID]; 61610619 [SITE_REF],,50,382313.74,6506605.86,-31.569568995,115.759856757,GDA2020
61610620,61610620,Groundwater,Bore or Well,AWRC,Pinjar Observation - P330,P330,4961 [WIN_ID]; 61610620 [SITE_REF],,50,382053.61,6507578.51,-31.560768782,115.757232519,GDA2020
61610622,61610622,Groundwater,Bore or Well,AWRC,Pinjar Monitoring - PM15,PM15,4963 [WIN_ID]; 61610622 [SITE_REF],,50,382685.55,6508695.96,-31.550753566,115.764022660,GDA2020
61610624,61610624,Groundwater,Bore or Well,AWRC,Yeal Observation - Y220,Y220,4965 [WIN_ID]; 61610624 [SITE_REF],,50,381765.97,6510593.56,-31.533542532,115.754563585,GDA2020
61610644,61610644,Groundwater,Bore or Well,AWRC,Pinjar Monitoring - PM19,PM19,4985 [WIN_ID]; 61610644 [SITE_REF],,50,384034.55,6505644.36,-31.578416744,115.777873515,GDA2020
61610645,61610645,Groundwater,Bore or Well,AWRC,Pinjar Monitoring - PM17,PM17,4986 [WIN_ID]; 61610645 [SITE_REF],,50,384299.62,6507015.92,-31.566071374,115.780827422,GDA2020
61610646,61610646,Groundwater,Bore or Well,AWRC,Gingin Monitoring - GG2 (I),GG2 (I),4987 [WIN_ID]; 61610646 [SITE_REF],,50,384305.63,6510038.48,-31.538807330,115.781245228,GDA2020
61610647,61610647,Groundwater,Bore or Well,AWRC,Gingin Monitoring - GG2 (O),GG2 (O),4988 [WIN_ID]; 61610647 [SITE_REF],,50,384307.67,6510006.69,-31.539094295,115.781262988,GDA2020
61610648,61610648,Groundwater,Bore or Well,AWRC,Pinjar Evaluation - PE1A,PE1A,4989 [WIN_ID]; 61610648 [SITE_REF],,50,384302.41,6510079.92,-31.538433200,115.781216171,GDA2020
61610649,61610649,Groundwater,Bore or Well,AWRC,Pinjar Evaluation - PE1B,PE1B,4990 [WIN_ID]; 61610649 [SITE_REF],,50,384302.07,6510082.91,-31.538406194,115.781212941,GDA2020
61610650,61610650,Groundwater,Bore or Well,AWRC,Pinjar Evaluation - PE1C,PE1C,4991 [WIN_ID]; 61610650 [SITE_REF],,50,384301.91,6510085.60,-31.538381913,115.781211571,GDA2020
61610651,61610651,Groundwater,Bore or Well,AWRC,Pinjar Evaluation - PE2A,PE2A,4992 [WIN_ID]; 61610651 [SITE_REF],,50,384299.99,6510118.18,-31.538087834,115.781195168,GDA2020
61610652,61610652,Groundwater,Bore or Well,AWRC,Pinjar Evaluation - PE2B,PE2B,4993 [WIN_ID]; 61610652 [SITE_REF],,50,384299.72,6510121.32,-31.538059483,115.781192692,GDA2020
61610653,61610653,Groundwater,Bore or Well,AWRC,Pinjar Evaluation - PE2C,PE2C,4994 [WIN_ID]; 61610653 [SITE_REF],,50,384299.51,6510124.49,-31.538030867,115.781190852,GDA2020
61610654,61610654,Groundwater,Bore or Well,AWRC,Gnangara Mound Monitor - GA5,GA5,4995 [WIN_ID]; 61610654 [SITE_REF],,50,383843.16,6513735.29,-31.505413997,115.776809041,GDA2020
61610671,61610671,Groundwater,Bore or Well,AWRC,Pinjar Monitoring - PCM21,PCM21,5012 [WIN_ID]; 61610671 [SITE_REF],,50,385580.71,6503881.75,-31.594470874,115.793960113,GDA2020
61610672,61610672,Groundwater,Bore or Well,AWRC,Pinjar Monitoring - PM18,PM18,5013 [WIN_ID]; 61610672 [SITE_REF],,50,386290.02,6506303.88,-31.572692629,115.801714895,GDA2020
