field_1,field_2,xcoord,ycoord
"1.155211864406779654e+02","-3.141459030891089199e+01",359431.787551778,6523505.39734407
"1.155932203389830448e+02","-3.140149225049504977e+01",366261.06673343,6525047.18403075
"1.155932203389830448e+02","-3.134910001683168446e+01",366186.812688517,6530854.70599939
"1.156949152542372872e+02","-3.132290390000000002e+01",375826.528142489,6533877.5236961
"1.156822033898305051e+02","-3.127487768580857974e+01",374553.320342496,6539186.53923892
"1.157584745762711833e+02","-3.125304758844884390e+01",381787.286575367,6541690.43093312
"1.157584745762711833e+02","-3.123121749108910805e+01",381760.088556657,6544110.10946867
"1.157881355932203320e+02","-3.121811943267326583e+01",384569.234686128,6545593.27075741
"1.157881355932203320e+02","-3.120938739372937221e+01",384558.624242879,6546561.13309346
"1.158516949152542423e+02","-3.119628933531352999e+01",390598.607183568,6548077.53955349
"1.158983050847457577e+02","-3.118755729636963636e+01",395029.916325114,6549090.55290777
"1.160084745762711833e+02","-3.115699516006600689e+01",405497.196076673,6552577.24406828
