CODE,JNCODE,NARRATIVE,COMPLEX,NAME,NAME_DESC,AGE1,AGE2,AGE3,AGE4,TIME,STRATIG1,STRATIG2,STRATIG3,METAMORPH,TECTONIC1,TECTONIC2,TECTONIC3
Cs,20342;Cs,Colluvial slopes,,,,,,,,,,,,,,,
Dp,20342;Dp,Surfaces of plantation,,,,,,,,,,,,,,,
Ds,20342;Ds,Degraded surfaces of plantation and denudational slopes,,,,,,,,,,,,,,,
Ed1,20342;Ed1,"Parabolic and nested parabolic dunes, Quindalup Dunes",,Quindalup Dunes,Quindalup Dunes,,,,,,,,,,,,
Ed2,20342;Ed2,"Degraded surface of Eolian origin, Spearwood Dunes",,Spearwood Dunes,Spearwood Dunes,,,,,,,,,,,,
Ed3,20342;Ed3,"Degraded surface of Eolian origin, Bassendean Dunes",,Bassendean Dunes,Bassendean Dunes,,,,,,,,,,,,
Eh,20342;Eh,Deflation hollows,,,,,,,,,,,,,,,
Ei,20342;Ei,Interbarrier depression with prominent karstic phenomena,,,,,,,,,,,,,,,
Fp1,20342;Fp1,River floodplain and undifferentiated river terraces,,,,,,,,,,,,,,,
Fp2,20342;Fp2,Alluvial plain,,,,,,,,,,,,,,,
Ft,20342;Ft,"River terraces, where identified",,,,,,,,,,,,,,,
Lm1,20342;Lm1,"Marsh in interbarrier depression, high level",,,,,,,,,,,,,,,
Lm2,20342;Lm2,"Marsh in interbarrier depression, low level",,,,,,,,,,,,,,,
Lm3,20342;Lm3,Marshes in interdunal swale,,,,,,,,,,,,,,,
Made grd,20342;Made grd,Made Ground,,,,,,,,,,,,,,,
Ocean,20342;Ocean,Indian Ocean,,,,,,,,,,,,,,,
Water,20342;Water,Water bodies,,,,,,,,,,,,,,,
