model_timestamp,boreid,obsval,obsnme,obgnme,weight
8840,61718118,217.945185546875,61718118_8840,head,1.0
9020,61718118,217.848935546875,61718118_9020,head,1.0
9264,61718118,217.892935546875,61718118_9264,head,1.0
9839,61718118,218.003935546875,61718118_9839,head,1.0
10202,61718118,218.123935546875,61718118_10202,head,1.0
10323,61718118,218.218935546875,61718118_10323,head,1.0
10565,61718118,218.228935546875,61718118_10565,head,1.0
10656,61718118,218.238935546875,61718118_10656,head,1.0
10898,61718118,218.2956022135417,61718118_10898,head,1.0
11020,61718118,218.328935546875,61718118_11020,head,1.0
11261,61718118,218.3656022135417,61718118_11261,head,1.0
11383,61718118,218.408935546875,61718118_11383,head,1.0
11655,61718118,218.498935546875,61718118_11655,head,1.0
11776,61718118,218.548935546875,61718118_11776,head,1.0
12018,61718118,218.568935546875,61718118_12018,head,1.0
12139,61718118,218.783935546875,61718118_12139,head,1.0
12290,61718118,218.783935546875,61718118_12290,head,1.0
12442,61718118,218.833935546875,61718118_12442,head,1.0
12775,61718118,218.9672688802083,61718118_12775,head,1.0
12836,61718118,219.078935546875,61718118_12836,head,1.0
13077,61718118,219.151435546875,61718118_13077,head,1.0
13199,61718118,219.348935546875,61718118_13199,head,1.0
13471,61718118,219.436935546875,61718118_13471,head,1.0
13562,61718118,219.548935546875,61718118_13562,head,1.0
13774,61718118,219.656935546875,61718118_13774,head,1.0
13926,61718118,219.801435546875,61718118_13926,head,1.0
14167,61718118,220.098935546875,61718118_14167,head,1.0
14410,61718118,220.203935546875,61718118_14410,head,1.0
14713,61718118,220.483935546875,61718118_14713,head,1.0
14924,61718118,220.718935546875,61718118_14924,head,1.0
15227,61718118,220.903935546875,61718118_15227,head,1.0
15409,61718118,221.048935546875,61718118_15409,head,1.0
15620,61718118,221.143935546875,61718118_15620,head,1.0
15742,61718118,221.378935546875,61718118_15742,head,1.0
15983,61718118,221.458935546875,61718118_15983,head,1.0
16105,61718118,221.673935546875,61718118_16105,head,1.0
16741,61718118,221.968935546875,61718118_16741,head,1.0
16862,61718118,222.168935546875,61718118_16862,head,1.0
17043,61718118,222.318935546875,61718118_17043,head,1.0
17225,61718118,222.498935546875,61718118_17225,head,1.0
17436,61718118,222.758935546875,61718118_17436,head,1.0
17527,61718118,222.998935546875,61718118_17527,head,1.0
17738,61718118,223.078935546875,61718118_17738,head,1.0
18102,61718118,223.638935546875,61718118_18102,head,1.0
18526,61718118,224.208935546875,61718118_18526,head,1.0
19768,61718118,225.038935546875,61718118_19768,head,1.0
19979,61718118,225.118935546875,61718118_19979,head,1.0
20131,61718118,225.223935546875,61718118_20131,head,1.0
20768,61718118,225.538935546875,61718118_20768,head,1.0
21102,61718118,225.678935546875,61718118_21102,head,1.0
21434,61718118,225.788935546875,61718118_21434,head,1.0
21919,61718118,225.928935546875,61718118_21919,head,1.0
