Type,ID,parnme,parlbnd,parval1,parubnd,partrans,parchglim,pargp,scale,offset,dercom
HK,1,k_kp,1.0,8.0,100.0,log,factor,HK,1,0,1
VK,2,vk_kp,0.01,0.1,10.0,log,factor,VK,1,0,1
SY,3,sy,0.05,0.1,0.5,none,factor,SY,1,0,1
SS,4,ss,1e-05,0.0001,0.001,none,factor,SS,1,0,1
RCH,5,rch_woody_coeff,0.005,0.01,0.05,none,factor,RCH,1,0,1
RCH,6,rch_nonwoody_coeff,0.01,0.06,0.1,none,factor,RCH,1,0,1
EVT,7,evt_woody_multiplier,0.1,0.6,1.0,none,factor,EVT,1,0,1
EVT,8,evt_nonwoody_multiplier,0.8,1.3,1.8,none,factor,EVT,1,0,1
EVT,9,evt_woody_depth,3.0,5.0,10.0,none,factor,EVT,1,0,1
EVT,10,evt_nonwoody_depth,0.1,2.0,5.0,none,factor,EVT,1,0,1
DRN,11,river_cond,10.0,300.0,1000.0,none,factor,DRN,1,0,1
